plz5,city_name,customer_count
06217,Rural Area / Others,1
06231,Rural Area / Others,1
06237,Rural Area / Others,1
06254,Rural Area / Others,1
06258,Rural Area / Others,1
06291,Rural Area / Others,1
06359,Rural Area / Others,1
06385,Rural Area / Others,1
06388,Rural Area / Others,1
06406,Rural Area / Others,1
06408,Rural Area / Others,1
06425,Rural Area / Others,1
06429,Rural Area / Others,1
06449,Rural Area / Others,1
06458,Rural Area / Others,1
06463,Rural Area / Others,2
06484,Rural Area / Others,2
06526,Rural Area / Others,2
06528,Rural Area / Others,1
06536,Rural Area / Others,1
06567,Rural Area / Others,1
06578,Rural Area / Others,1
06618,Rural Area / Others,1
06648,Rural Area / Others,1
06679,Rural Area / Others,2
06721,Rural Area / Others,1
06766,Rural Area / Others,1
06773,Rural Area / Others,1
06774,Rural Area / Others,1
06785,Rural Area / Others,1
06794,Rural Area / Others,3
06796,Rural Area / Others,1
06800,Rural Area / Others,1
06838,Dessau-Roßlau,26
06838,Rural Area / Others,1
06839,Dessau-Roßlau,17
06842,Dessau-Roßlau,20
06844,Dessau-Roßlau,20
06846,Dessau-Roßlau,15
06846,Rural Area / Others,1
06847,Dessau-Roßlau,16
06849,Dessau-Roßlau,11
06861,Dessau-Roßlau,18
06862,Dessau-Roßlau,22
06886,Rural Area / Others,1
06888,Rural Area / Others,2
06896,Rural Area / Others,1
06909,Rural Area / Others,2
06917,Rural Area / Others,1
07349,Rural Area / Others,1
07387,Rural Area / Others,1
07389,Rural Area / Others,1
07541,Gera,16
07543,Gera,20
07545,Gera,23
07546,Gera,17
07546,Rural Area / Others,1
07548,Gera,22
07548,Rural Area / Others,1
07549,Gera,19
07551,Gera,15
07552,Gera,24
07552,Rural Area / Others,1
07554,Gera,21
07554,Rural Area / Others,1
07557,Gera,32
07557,Rural Area / Others,2
07570,Rural Area / Others,2
07586,Rural Area / Others,1
07589,Rural Area / Others,1
07613,Rural Area / Others,1
07619,Rural Area / Others,1
07737,Jena,23
07737,Rural Area / Others,1
07738,Jena,37
07739,Jena,26
07740,Jena,29
07743,Jena,29
07745,Jena,25
07745,Rural Area / Others,1
07747,Jena,25
07749,Jena,19
07751,Jena,27
07778,Rural Area / Others,1
07907,Rural Area / Others,1
07919,Rural Area / Others,1
07922,Rural Area / Others,1
07952,Rural Area / Others,1
07955,Rural Area / Others,1
07957,Rural Area / Others,2
08037,Rural Area / Others,1
08037,Zwickau,24
08048,Zwickau,27
08056,Zwickau,19
08058,Zwickau,29
08060,Zwickau,21
08062,Rural Area / Others,1
08062,Zwickau,31
08064,Zwickau,21
08066,Zwickau,19
08080,Rural Area / Others,1
08081,Rural Area / Others,1
08118,Rural Area / Others,1
08132,Rural Area / Others,1
08209,Rural Area / Others,1
08248,Rural Area / Others,2
08261,Rural Area / Others,1
08265,Rural Area / Others,1
08294,Rural Area / Others,2
08301,Rural Area / Others,1
08321,Rural Area / Others,1
08328,Rural Area / Others,1
08371,Rural Area / Others,1
08427,Rural Area / Others,1
08432,Rural Area / Others,2
08439,Rural Area / Others,1
08491,Rural Area / Others,1
08496,Rural Area / Others,1
08520,Plauen,17
08520,Rural Area / Others,1
08523,Plauen,18
08525,Plauen,15
08527,Plauen,20
08529,Plauen,15
08538,Plauen,13
08538,Rural Area / Others,1
08539,Plauen,21
08541,Plauen,10
08543,Plauen,15
08547,Rural Area / Others,1
09091,Chemnitz,11
09092,Chemnitz,26
09093,Chemnitz,19
09094,Chemnitz,14
09095,Chemnitz,18
09096,Chemnitz,14
09097,Chemnitz,14
09099,Chemnitz,14
09100,Chemnitz,18
09103,Chemnitz,10
09103,Rural Area / Others,2
09105,Chemnitz,20
09105,Rural Area / Others,1
09106,Chemnitz,12
09106,Rural Area / Others,1
09107,Chemnitz,13
09108,Chemnitz,25
09109,Chemnitz,23
09111,Chemnitz,19
09111,Rural Area / Others,1
09112,Chemnitz,14
09113,Chemnitz,19
09113,Rural Area / Others,1
09114,Chemnitz,14
09116,Chemnitz,11
09116,Rural Area / Others,1
09117,Chemnitz,16
09117,Rural Area / Others,1
09119,Chemnitz,28
09120,Chemnitz,11
09122,Chemnitz,23
09123,Chemnitz,17
09123,Rural Area / Others,1
09125,Chemnitz,25
09126,Chemnitz,21
09127,Chemnitz,11
09127,Rural Area / Others,1
09128,Chemnitz,21
09130,Chemnitz,16
09130,Rural Area / Others,1
09131,Chemnitz,22
09217,Rural Area / Others,1
09221,Rural Area / Others,1
09228,Rural Area / Others,1
09243,Rural Area / Others,1
09247,Rural Area / Others,3
09322,Rural Area / Others,1
09326,Rural Area / Others,1
09366,Rural Area / Others,1
09385,Rural Area / Others,1
09392,Rural Area / Others,1
09394,Rural Area / Others,2
09419,Rural Area / Others,1
09423,Rural Area / Others,1
09429,Rural Area / Others,1
09432,Rural Area / Others,1
09437,Rural Area / Others,1
09439,Rural Area / Others,2
09453,Rural Area / Others,1
09526,Rural Area / Others,1
09548,Rural Area / Others,1
09569,Rural Area / Others,1
09575,Rural Area / Others,2
09579,Rural Area / Others,1
09600,Rural Area / Others,2
09603,Rural Area / Others,1
09638,Rural Area / Others,1
09648,Rural Area / Others,1
09661,Rural Area / Others,1
10082,Rural Area / Others,2
10098,Berlin,442
10098,Rural Area / Others,1
10099,Berlin,457
10099,Rural Area / Others,2
10102,Berlin,446
10103,Berlin,456
10104,Berlin,476
10105,Berlin,443
10106,Berlin,473
10107,Berlin,436
10107,Rural Area / Others,1
10108,Berlin,505
10109,Berlin,437
10112,Berlin,488
10115,Berlin,469
10115,Rural Area / Others,1
10117,Berlin,519
10119,Berlin,475
10119,Rural Area / Others,1
10150,Berlin,482
10169,Berlin,471
10173,Berlin,472
10173,Rural Area / Others,1
10178,Berlin,947
10179,Berlin,438
10243,Berlin,454
10243,Rural Area / Others,1
10245,Berlin,453
10245,Rural Area / Others,1
10247,Berlin,450
10249,Berlin,491
10249,Rural Area / Others,1
10315,Rural Area / Others,3
10360,Rural Area / Others,1
10362,Rural Area / Others,1
10405,Rural Area / Others,1
10409,Rural Area / Others,1
10547,Rural Area / Others,1
10555,Rural Area / Others,1
10705,Rural Area / Others,1
10713,Rural Area / Others,1
10717,Rural Area / Others,1
10768,Rural Area / Others,1
10773,Rural Area / Others,1
10777,Rural Area / Others,1
10789,Rural Area / Others,1
10827,Rural Area / Others,1
10859,Rural Area / Others,1
10860,Rural Area / Others,1
10864,Rural Area / Others,1
10867,Rural Area / Others,1
10871,Rural Area / Others,1
10873,Rural Area / Others,1
10877,Rural Area / Others,1
10878,Rural Area / Others,1
10880,Rural Area / Others,1
10883,Rural Area / Others,1
10892,Rural Area / Others,1
10907,Rural Area / Others,1
10908,Rural Area / Others,2
10910,Rural Area / Others,1
10912,Rural Area / Others,1
10916,Rural Area / Others,1
10934,Rural Area / Others,1
10965,Rural Area / Others,1
11013,Rural Area / Others,1
11014,Rural Area / Others,1
11056,Rural Area / Others,1
11503,Rural Area / Others,1
11505,Rural Area / Others,1
11509,Rural Area / Others,1
11513,Rural Area / Others,1
12037,Rural Area / Others,1
12051,Rural Area / Others,1
12055,Rural Area / Others,1
12057,Rural Area / Others,1
12059,Rural Area / Others,1
12096,Rural Area / Others,1
12099,Rural Area / Others,1
12105,Rural Area / Others,1
12163,Rural Area / Others,1
12167,Rural Area / Others,1
12169,Rural Area / Others,1
12209,Rural Area / Others,1
12249,Rural Area / Others,1
12274,Rural Area / Others,1
12305,Rural Area / Others,1
12307,Rural Area / Others,1
12309,Rural Area / Others,1
12349,Rural Area / Others,1
12351,Rural Area / Others,1
12459,Rural Area / Others,2
12521,Rural Area / Others,1
12524,Rural Area / Others,1
12526,Rural Area / Others,2
12552,Rural Area / Others,1
12555,Rural Area / Others,1
12629,Rural Area / Others,2
12671,Rural Area / Others,1
12683,Rural Area / Others,1
12687,Rural Area / Others,1
13047,Rural Area / Others,1
13053,Rural Area / Others,1
13059,Rural Area / Others,2
13089,Rural Area / Others,1
13127,Rural Area / Others,1
13129,Rural Area / Others,1
13156,Rural Area / Others,1
13158,Rural Area / Others,1
13340,Rural Area / Others,1
13341,Rural Area / Others,1
13342,Rural Area / Others,1
13343,Rural Area / Others,1
13344,Rural Area / Others,1
13357,Rural Area / Others,1
13403,Rural Area / Others,2
13407,Rural Area / Others,1
13409,Rural Area / Others,1
13439,Rural Area / Others,1
13465,Rural Area / Others,1
13499,Rural Area / Others,2
13500,Rural Area / Others,1
13589,Rural Area / Others,1
13597,Rural Area / Others,2
13619,Rural Area / Others,2
13627,Rural Area / Others,1
13629,Rural Area / Others,1
14046,Rural Area / Others,1
14047,Rural Area / Others,1
14053,Rural Area / Others,1
14089,Rural Area / Others,1
14107,Rural Area / Others,1
14129,Rural Area / Others,1
14167,Rural Area / Others,1
14195,Rural Area / Others,2
14322,Rural Area / Others,1
14456,Potsdam,25
14457,Potsdam,28
14458,Potsdam,32
14459,Potsdam,27
14461,Potsdam,28
14462,Potsdam,22
14462,Rural Area / Others,1
14463,Potsdam,28
14463,Rural Area / Others,1
14464,Potsdam,16
14465,Potsdam,15
14467,Potsdam,20
14469,Potsdam,26
14471,Potsdam,25
14473,Potsdam,20
14476,Potsdam,23
14476,Rural Area / Others,1
14478,Potsdam,17
14480,Potsdam,26
14482,Potsdam,27
14482,Rural Area / Others,1
14547,Rural Area / Others,1
14552,Rural Area / Others,1
14558,Rural Area / Others,1
14641,Rural Area / Others,2
14669,Rural Area / Others,1
14765,Brandenburg an der Havel,16
14767,Brandenburg an der Havel,29
14770,Brandenburg an der Havel,18
14772,Brandenburg an der Havel,21
14774,Brandenburg an der Havel,17
14774,Rural Area / Others,2
14776,Brandenburg an der Havel,20
14778,Brandenburg an der Havel,18
14789,Brandenburg an der Havel,23
14823,Rural Area / Others,1
14828,Rural Area / Others,1
14913,Rural Area / Others,1
14947,Rural Area / Others,3
15220,Frankfurt (Oder),14
15224,Frankfurt (Oder),13
15227,Frankfurt (Oder),17
15228,Frankfurt (Oder),20
15229,Frankfurt (Oder),10
15229,Rural Area / Others,1
15230,Frankfurt (Oder),15
15232,Frankfurt (Oder),10
15232,Rural Area / Others,1
15234,Frankfurt (Oder),13
15236,Frankfurt (Oder),13
15295,Rural Area / Others,1
15299,Rural Area / Others,2
15517,Rural Area / Others,1
15562,Rural Area / Others,1
15569,Rural Area / Others,2
15738,Rural Area / Others,1
15746,Rural Area / Others,1
15752,Rural Area / Others,1
15755,Rural Area / Others,1
15827,Rural Area / Others,1
15890,Rural Area / Others,1
15910,Rural Area / Others,1
15926,Rural Area / Others,1
15936,Rural Area / Others,1
16227,Rural Area / Others,1
16244,Rural Area / Others,1
16303,Rural Area / Others,2
16515,Rural Area / Others,1
16547,Rural Area / Others,1
16548,Rural Area / Others,1
16559,Rural Area / Others,2
16565,Rural Area / Others,1
16798,Rural Area / Others,1
16818,Rural Area / Others,1
16831,Rural Area / Others,1
16866,Rural Area / Others,1
16921,Rural Area / Others,1
16945,Rural Area / Others,1
16949,Rural Area / Others,1
17030,Neubrandenburg,12
17033,Neubrandenburg,25
17034,Neubrandenburg,17
17036,Neubrandenburg,21
17039,Neubrandenburg,21
17049,Neubrandenburg,16
17049,Rural Area / Others,3
17050,Neubrandenburg,20
17050,Rural Area / Others,1
17091,Rural Area / Others,2
17139,Rural Area / Others,1
17153,Rural Area / Others,1
17154,Rural Area / Others,1
17159,Rural Area / Others,2
17166,Rural Area / Others,2
17192,Rural Area / Others,1
17194,Rural Area / Others,1
17207,Rural Area / Others,1
17237,Rural Area / Others,2
17268,Rural Area / Others,1
17305,Rural Area / Others,1
17309,Rural Area / Others,1
17328,Rural Area / Others,1
17329,Rural Area / Others,2
17337,Rural Area / Others,1
17389,Rural Area / Others,1
17390,Rural Area / Others,1
17398,Rural Area / Others,1
17406,Rural Area / Others,1
17419,Rural Area / Others,1
17429,Rural Area / Others,1
17440,Rural Area / Others,1
17459,Rural Area / Others,1
17474,Greifswald,11
17475,Greifswald,18
17489,Greifswald,11
17491,Greifswald,12
17493,Greifswald,14
17495,Greifswald,14
17495,Rural Area / Others,1
17498,Greifswald,14
17506,Greifswald,12
17509,Greifswald,17
18048,Rostock,47
18050,Rostock,45
18050,Rural Area / Others,1
18051,Rostock,40
18052,Rostock,39
18053,Rostock,58
18055,Rostock,44
18057,Rostock,39
18059,Rostock,51
18060,Rostock,34
18060,Rural Area / Others,1
18069,Rostock,53
18196,Rural Area / Others,1
18236,Rural Area / Others,1
18239,Rural Area / Others,1
18292,Rural Area / Others,1
18317,Rural Area / Others,1
18320,Rural Area / Others,2
18337,Rural Area / Others,2
18356,Rural Area / Others,1
18431,Rural Area / Others,1
18431,Stralsund,10
18432,Stralsund,15
18435,Rural Area / Others,1
18435,Stralsund,23
18437,Rural Area / Others,2
18437,Stralsund,18
18439,Stralsund,23
18442,Stralsund,16
18445,Rural Area / Others,1
18445,Stralsund,13
18507,Rural Area / Others,1
18516,Rural Area / Others,1
18573,Rural Area / Others,1
18609,Rural Area / Others,1
19048,Schwerin,10
19049,Schwerin,25
19050,Rural Area / Others,1
19050,Schwerin,16
19051,Rural Area / Others,1
19051,Schwerin,13
19053,Rural Area / Others,3
19053,Schwerin,17
19055,Rural Area / Others,1
19055,Schwerin,13
19057,Rural Area / Others,2
19057,Schwerin,15
19059,Schwerin,13
19061,Schwerin,14
19063,Rural Area / Others,1
19063,Schwerin,11
19065,Schwerin,14
19067,Schwerin,18
19069,Schwerin,12
19071,Schwerin,15
19073,Rural Area / Others,1
19073,Schwerin,9
19089,Rural Area / Others,1
19217,Rural Area / Others,2
19230,Rural Area / Others,1
19300,Rural Area / Others,1
19322,Rural Area / Others,1
19367,Rural Area / Others,1
19399,Rural Area / Others,1
19412,Rural Area / Others,1
19417,Rural Area / Others,1
20038,Hamburg,306
20066,Hamburg,212
20067,Hamburg,199
20067,Rural Area / Others,1
20068,Hamburg,196
20069,Hamburg,195
20070,Hamburg,204
20070,Rural Area / Others,1
20071,Hamburg,179
20071,Rural Area / Others,1
20072,Hamburg,230
20072,Rural Area / Others,1
20073,Hamburg,183
20074,Hamburg,210
20074,Rural Area / Others,1
20076,Hamburg,206
20076,Rural Area / Others,1
20077,Hamburg,225
20079,Hamburg,204
20080,Hamburg,219
20081,Hamburg,208
20083,Hamburg,234
20083,Rural Area / Others,1
20084,Hamburg,200
20085,Hamburg,209
20086,Hamburg,224
20087,Hamburg,223
20088,Hamburg,199
20090,Hamburg,215
20091,Hamburg,191
20091,Rural Area / Others,1
20092,Hamburg,198
20095,Hamburg,205
20097,Hamburg,183
20099,Hamburg,193
20146,Rural Area / Others,1
20148,Rural Area / Others,1
20247,Rural Area / Others,1
20351,Rural Area / Others,1
20449,Rural Area / Others,2
20453,Rural Area / Others,1
20454,Rural Area / Others,1
20535,Rural Area / Others,1
20901,Rural Area / Others,1
20913,Rural Area / Others,1
20914,Rural Area / Others,1
20915,Rural Area / Others,1
21031,Rural Area / Others,1
21037,Rural Area / Others,1
21039,Rural Area / Others,1
21079,Rural Area / Others,1
21105,Rural Area / Others,1
21107,Rural Area / Others,1
21109,Rural Area / Others,1
21175,Rural Area / Others,1
21227,Rural Area / Others,1
21274,Rural Area / Others,1
21332,Lüneburg,26
21333,Lüneburg,32
21333,Rural Area / Others,1
21335,Lüneburg,30
21337,Lüneburg,33
21339,Lüneburg,28
21354,Lüneburg,15
21379,Rural Area / Others,1
21394,Rural Area / Others,1
21397,Rural Area / Others,1
21406,Rural Area / Others,1
21441,Rural Area / Others,1
21445,Rural Area / Others,1
21465,Rural Area / Others,1
21493,Rural Area / Others,1
21502,Rural Area / Others,1
21614,Rural Area / Others,2
21635,Rural Area / Others,1
21647,Rural Area / Others,1
21676,Rural Area / Others,1
21683,Rural Area / Others,1
21710,Rural Area / Others,3
21714,Rural Area / Others,1
21726,Rural Area / Others,1
21732,Rural Area / Others,1
21739,Rural Area / Others,1
21745,Rural Area / Others,1
21755,Rural Area / Others,2
21756,Rural Area / Others,1
21763,Rural Area / Others,1
21772,Rural Area / Others,1
21776,Rural Area / Others,1
21784,Rural Area / Others,1
21787,Rural Area / Others,1
22032,Rural Area / Others,1
22033,Rural Area / Others,1
22045,Rural Area / Others,1
22047,Rural Area / Others,1
22117,Rural Area / Others,2
22139,Rural Area / Others,1
22140,Rural Area / Others,1
22280,Rural Area / Others,1
22282,Rural Area / Others,1
22283,Rural Area / Others,1
22287,Rural Area / Others,1
22291,Rural Area / Others,1
22292,Rural Area / Others,1
22301,Rural Area / Others,1
22391,Rural Area / Others,1
22451,Rural Area / Others,2
22457,Rural Area / Others,1
22529,Rural Area / Others,1
22547,Rural Area / Others,1
22557,Rural Area / Others,1
22559,Rural Area / Others,1
22587,Rural Area / Others,1
22603,Rural Area / Others,1
22605,Rural Area / Others,1
22743,Rural Area / Others,1
22750,Rural Area / Others,1
22754,Rural Area / Others,1
22755,Rural Area / Others,1
22758,Rural Area / Others,1
22763,Rural Area / Others,1
22767,Rural Area / Others,1
22777,Rural Area / Others,2
22778,Rural Area / Others,2
22779,Rural Area / Others,1
22781,Rural Area / Others,1
22782,Rural Area / Others,1
22785,Rural Area / Others,1
22799,Rural Area / Others,1
22839,Norderstedt,19
22841,Norderstedt,13
22842,Norderstedt,20
22842,Rural Area / Others,1
22844,Norderstedt,18
22846,Norderstedt,18
22848,Norderstedt,16
22850,Norderstedt,24
22850,Rural Area / Others,1
22851,Norderstedt,22
22865,Norderstedt,17
22866,Norderstedt,14
22866,Rural Area / Others,1
22867,Rural Area / Others,1
22869,Rural Area / Others,1
22927,Rural Area / Others,2
22929,Rural Area / Others,1
22949,Rural Area / Others,2
22952,Rural Area / Others,1
22962,Rural Area / Others,1
22967,Rural Area / Others,2
23533,Lübeck,30
23538,Lübeck,36
23538,Rural Area / Others,1
23539,Lübeck,30
23540,Lübeck,44
23541,Lübeck,34
23541,Rural Area / Others,2
23542,Lübeck,24
23543,Lübeck,37
23544,Lübeck,30
23544,Rural Area / Others,1
23546,Lübeck,34
23547,Lübeck,40
23552,Lübeck,31
23554,Lübeck,26
23556,Lübeck,41
23558,Lübeck,39
23558,Rural Area / Others,1
23568,Rural Area / Others,1
23570,Rural Area / Others,2
23611,Rural Area / Others,2
23616,Rural Area / Others,1
23715,Rural Area / Others,1
23818,Rural Area / Others,1
23823,Rural Area / Others,3
23827,Rural Area / Others,1
23829,Rural Area / Others,1
23858,Rural Area / Others,1
23881,Rural Area / Others,2
23898,Rural Area / Others,1
23923,Rural Area / Others,2
23942,Rural Area / Others,1
23966,Rural Area / Others,1
23968,Rural Area / Others,1
23970,Rural Area / Others,1
23972,Rural Area / Others,1
23974,Rural Area / Others,1
24088,Kiel,36
24090,Kiel,27
24090,Rural Area / Others,2
24091,Kiel,24
24094,Kiel,26
24095,Kiel,30
24096,Kiel,21
24097,Kiel,21
24098,Kiel,19
24098,Rural Area / Others,2
24099,Kiel,22
24099,Rural Area / Others,1
24100,Kiel,21
24103,Kiel,28
24103,Rural Area / Others,1
24105,Kiel,25
24105,Rural Area / Others,1
24106,Kiel,30
24107,Kiel,27
24109,Kiel,22
24111,Kiel,32
24111,Rural Area / Others,1
24113,Kiel,32
24114,Kiel,24
24114,Rural Area / Others,1
24116,Kiel,30
24116,Rural Area / Others,1
24118,Kiel,25
24119,Kiel,32
24119,Rural Area / Others,1
24145,Rural Area / Others,1
24147,Rural Area / Others,1
24149,Rural Area / Others,1
24159,Rural Area / Others,1
24180,Rural Area / Others,1
24217,Rural Area / Others,2
24222,Rural Area / Others,2
24232,Rural Area / Others,2
24241,Rural Area / Others,1
24248,Rural Area / Others,1
24250,Rural Area / Others,1
24251,Rural Area / Others,2
24257,Rural Area / Others,1
24300,Rural Area / Others,1
24354,Rural Area / Others,1
24361,Rural Area / Others,1
24364,Rural Area / Others,1
24366,Rural Area / Others,1
24376,Rural Area / Others,1
24392,Rural Area / Others,1
24395,Rural Area / Others,1
24399,Rural Area / Others,1
24401,Rural Area / Others,1
24407,Rural Area / Others,1
24530,Neumünster,33
24531,Neumünster,25
24531,Rural Area / Others,1
24534,Neumünster,31
24534,Rural Area / Others,1
24536,Neumünster,21
24536,Rural Area / Others,1
24537,Neumünster,36
24539,Neumünster,29
24539,Rural Area / Others,2
24568,Rural Area / Others,1
24613,Rural Area / Others,1
24616,Rural Area / Others,1
24620,Rural Area / Others,1
24625,Rural Area / Others,1
24632,Rural Area / Others,1
24640,Rural Area / Others,1
24641,Rural Area / Others,1
24787,Rural Area / Others,1
24808,Rural Area / Others,1
24811,Rural Area / Others,1
24848,Rural Area / Others,1
24855,Rural Area / Others,1
24863,Rural Area / Others,1
24864,Rural Area / Others,1
24867,Rural Area / Others,1
24869,Rural Area / Others,2
24884,Rural Area / Others,2
24888,Rural Area / Others,1
24891,Rural Area / Others,1
24899,Rural Area / Others,1
24927,Flensburg,18
24930,Flensburg,23
24932,Flensburg,23
24933,Flensburg,14
24933,Rural Area / Others,2
24937,Flensburg,23
24937,Rural Area / Others,1
24939,Flensburg,15
24941,Flensburg,20
24943,Flensburg,20
24944,Flensburg,17
24945,Flensburg,21
24945,Rural Area / Others,1
24955,Flensburg,17
24955,Rural Area / Others,4
24960,Rural Area / Others,1
24963,Rural Area / Others,1
24976,Rural Area / Others,1
24977,Rural Area / Others,1
24989,Rural Area / Others,1
24991,Rural Area / Others,1
24994,Rural Area / Others,1
24997,Rural Area / Others,1
24999,Rural Area / Others,1
25320,Elmshorn,19
25320,Rural Area / Others,1
25333,Elmshorn,15
25333,Rural Area / Others,1
25335,Elmshorn,10
25335,Rural Area / Others,1
25336,Elmshorn,13
25336,Rural Area / Others,1
25337,Elmshorn,20
25348,Elmshorn,20
25348,Rural Area / Others,1
25355,Elmshorn,15
25358,Rural Area / Others,1
25361,Rural Area / Others,1
25364,Rural Area / Others,1
25365,Rural Area / Others,1
25373,Rural Area / Others,1
25376,Rural Area / Others,1
25421,Rural Area / Others,2
25462,Rural Area / Others,2
25474,Rural Area / Others,2
25482,Rural Area / Others,1
25486,Rural Area / Others,1
25491,Rural Area / Others,2
25495,Rural Area / Others,1
25518,Rural Area / Others,1
25560,Rural Area / Others,1
25575,Rural Area / Others,1
25579,Rural Area / Others,1
25581,Rural Area / Others,1
25584,Rural Area / Others,2
25587,Rural Area / Others,1
25588,Rural Area / Others,1
25724,Rural Area / Others,1
25746,Rural Area / Others,1
25779,Rural Area / Others,1
25782,Rural Area / Others,1
25785,Rural Area / Others,1
25799,Rural Area / Others,2
25836,Rural Area / Others,1
25842,Rural Area / Others,1
25849,Rural Area / Others,1
25852,Rural Area / Others,2
25853,Rural Area / Others,2
25855,Rural Area / Others,1
25858,Rural Area / Others,1
