id_nr,id_key,city_name,city_type,plz,city_area_squared_km,population_total,population_male,population_female,population_per_squared_km
73,53780004004,Bergisch Gladbach,Stadt,51465,83.09,111361,53572,57789,1340.0
74,160530000000,Jena,Stadt,07743,114.77,109725,53798,55927,956.0
75,31020000000,Salzgitter,Stadt,38226,224.49,104970,52702,52268,468.0
76,72110000000,Trier,Stadt,54290,117.06,104342,51163,53179,891.0
77,59700040040,Siegen,Universitätsstadt,57072,114.69,102685,51115,51570,895.0
78,51700024024,Moers,Stadt,47441,67.64,101503,49277,52226,1501.0
79,57540008008,Gütersloh,Stadt,33330,112.02,100479,49731,50748,897.0
80,73120000000,Kaiserslautern,Stadt,67657,139.7,100426,50655,49771,719.0
81,32540021021,Hildesheim,Stadt,31134,92.29,98510,47126,51384,1067.0
82,130040000000,Schwerin,Landeshauptstadt,19053,130.52,98308,47222,51086,753.0
83,64350014014,Hanau,Brüder-Grimm-Stadt,63450,76.28,97956,48325,49631,1284.0
84,10010000000,Flensburg,Stadt,24937,56.73,96326,47651,48675,1698.0
85,81160019019,Esslingen am Neckar,Stadt,73728,46.43,96182,48555,47627,2072.0
86,160520000000,Gera,Stadt,07545,152.18,95608,46893,48715,628.0
87,120520000000,Cottbus/Chóśebuz,Stadt,03046,165.61,95123,46134,48989,574.0
88,53580008008,Düren,Stadt,52349,85.01,94568,47041,47527,1112.0
89,81180048048,Ludwigsburg,Stadt,71638,43.34,92858,45442,47416,2143.0
90,84160041041,Tübingen,Universitätsstadt,72070,108.07,92322,43500,48822,854.0
91,59620024024,Iserlohn,Stadt,58636,125.49,91811,44796,47015,732.0
92,59540036036,Witten,Stadt,58452,72.4,91808,44321,47487,1268.0
93,83265004074,Villingen-Schwenningen,Stadt,78050,165.53,89756,44240,45516,542.0
94,51580028028,Ratingen,Stadt,40878,88.74,89368,43531,45837,1007.0
95,65310005005,Gießen,Universitätsstadt,35390,72.61,89179,44120,45059,1228.0
96,145240330330,Zwickau,"Stadt, Hochschulstadt",08056,102.58,87410,43021,44389,852.0
97,83355004043,Konstanz,Universitätsstadt,78462,54.12,86919,41634,45285,1606.0
98,55620024024,Marl,Stadt,45772,87.76,86766,42498,44268,989.0
99,73190000000,Worms,Stadt,67547,108.73,86753,43523,43230,798.0
100,59780024024,Lünen,Stadt,44532,59.39,86163,41922,44241,1451.0
101,57700024024,Minden,Stadt,32423,101.12,84013,41369,42644,831.0
102,10600063063,Norderstedt,Stadt,22846,58.1,82844,40389,42455,1426.0
103,51580032032,Velbert,Stadt,42551,74.9,82463,40323,42140,1101.0
104,34010000000,Delmenhorst,Stadt,27749,62.45,81406,40106,41300,1304.0
105,10040000000,Neumünster,Stadt,24534,71.66,79809,39742,40067,1114.0
106,51660032032,Viersen,Stadt,41747,91.1,78373,38634,39739,860.0
107,55660076076,Rheine,Stadt,48431,145.0,77209,38071,39138,532.0
108,94610000000,Bamberg,,96031,54.62,77150,37822,39328,1412.0
109,53820068068,Troisdorf,Stadt,53840,62.0,75901,37451,38450,1224.0
110,34050000000,Wilhelmshaven,Stadt,26382,107.11,75745,37881,37864,707.0
111,55620014014,Gladbeck,Stadt,45964,35.97,75499,37076,38423,2099.0
112,150010000000,Dessau-Roßlau,Stadt,06844,245.78,75402,36058,39344,307.0
113,55620012012,Dorsten,Stadt,46284,171.2,75277,36784,38493,440.0
114,59580004004,Arnsberg,Stadt,59759,193.72,74879,36788,38091,387.0
115,33550022022,Lüneburg,Hansestadt,21335,70.5,74785,35816,38969,1061.0
116,57660020020,Detmold,Stadt,32756,129.39,74278,35949,38329,574.0
117,120510000000,Brandenburg an der Havel,Stadt,14770,229.73,74113,36154,37959,323.0
118,65340014014,Marburg,Universitätsstadt,35037,123.91,73544,34790,38754,594.0
119,55620004004,Castrop-Rauxel,Stadt,44575,51.68,73282,35955,37327,1418.0
120,55540008008,Bocholt,Stadt,46395,119.4,73257,36160,37097,614.0
121,96610000000,Aschaffenburg,,63701,62.45,73091,35768,37323,1170.0
122,94620000000,Bayreuth,,95410,66.89,72940,35859,37081,1090.0
123,92610000000,Landshut,,84026,65.83,71863,35242,36621,1092.0
124,59620032032,Lüdenscheid,Stadt,58507,87.02,71212,34940,36272,818.0
125,59740028028,Lippstadt,Stadt,59555,113.68,68739,33967,34772,605.0
126,97630000000,Kempten (Allgäu),,87435,63.28,67645,33233,34412,1069.0
127,81365001088,Aalen,Stadt,73430,146.58,67621,33739,33882,461.0
128,57580012012,Herford,Hansestadt,32052,79.15,67503,33040,34463,853.0
129,71380045045,Neuwied,Stadt,56564,86.5,67083,33106,33977,776.0
130,51700008008,Dinslaken,Stadt,46535,47.66,66993,32354,34639,1406.0
131,33510006006,Celle,Stadt,29221,176.02,66834,32190,34644,380.0
132,53620032032,Kerpen,Kolpingstadt,50171,113.96,66585,33018,33567,584.0
133,51620008008,Grevenbroich,Stadt,41515,102.52,65983,32248,33735,644.0
134,160550000000,Weimar,Stadt,99423,84.47,65954,31575,34379,781.0
135,64330012012,Rüsselsheim am Main,Stadt,65428,58.29,65627,32979,32648,1126.0
136,145230320320,Plauen,Stadt,08523,102.11,65599,32104,33495,642.0
137,66310009009,Fulda,Stadt,36037,104.05,65434,32297,33137,629.0
138,91630000000,Rosenheim,,83013,37.22,65274,32352,32922,1754.0
139,81365007065,Schwäbisch Gmünd,Stadt,73525,113.81,64416,31403,33013,566.0
140,51620004004,Dormagen,Stadt,41539,85.5,63799,31811,31988,746.0
141,83175010096,Offenburg,Stadt,77652,78.37,62993,31307,31686,804.0
142,84355002016,Friedrichshafen,Stadt,88045,69.93,62796,31071,31725,898.0
143,97750135135,Neu-Ulm,GKSt,89210,80.95,62641,31378,31263,774.0
144,53620028028,Hürth,Stadt,50354,51.22,62160,30408,31752,1214.0
145,53620008008,Bergheim,Stadt,50126,96.34,61611,30753,30858,640.0
146,81150045045,Sindelfingen,Stadt,71063,50.83,61422,30477,30945,1208.0
147,55620020020,Herten,Stadt,45699,37.33,60941,29657,31284,1632.0
148,51700048048,Wesel,Stadt,46483,122.56,60785,29630,31155,496.0
149,130710107107,Neubrandenburg,Vier-Tore-Stadt,17033,86.12,60344,28977,31367,701.0
150,53660016016,Euskirchen,Stadt,53879,139.49,60021,29528,30493,430.0
151,51580020020,Langenfeld (Rheinland),Stadt,40764,41.15,59975,29207,30768,1457.0
152,32410005005,Garbsen,Stadt,30823,79.49,59903,29210,30693,754.0
153,81175005026,Göppingen,Stadt,73033,59.21,58937,29254,29683,995.0
154,59780036036,Unna,Stadt,59423,88.56,58333,28101,30232,659.0
155,32520006006,Hameln,Stadt,31785,102.53,58244,27988,30256,568.0
156,53340032032,Stolberg (Rhld.),Kupferstadt,52222,98.48,57684,28530,29154,586.0
157,53340012012,Eschweiler,Stadt,52249,75.75,57534,28247,29287,760.0
158,81190079079,Waiblingen,Stadt,71332,42.75,57313,28233,29080,1341.0
159,120530000000,Frankfurt (Oder),Stadt,15230,147.85,57107,27896,29211,386.0
160,51620022022,Meerbusch,Stadt,40670,64.4,57078,27450,29628,886.0
161,34560015015,Nordhorn,Stadt,48529,149.86,56973,28034,28939,380.0
162,82110000000,Baden-Baden,Stadt,76530,140.19,56881,27107,29774,406.0
163,64340001001,Bad Homburg v. d. Höhe,Stadt,61343,51.14,56688,27023,29665,1108.0
164,53820056056,Sankt Augustin,Stadt,53757,34.22,56521,27810,28711,1652.0
165,34540032032,Lingen (Ems),Stadt,49808,176.19,56498,28298,28200,321.0
166,53620036036,Pulheim,Stadt,50259,72.15,56150,27154,28996,778.0
167,130750039039,Greifswald,Universitäts- und Hansestadt,17489,50.81,56092,26434,29658,1104.0
168,146260110110,Görlitz,"Stadt, Hochschulstadt",02826,67.53,55186,26708,28478,817.0
169,51580016016,Hilden,Stadt,40721,25.95,55157,26436,28721,2126.0
170,65320023023,Wetzlar,Stadt,35578,75.65,54665,26647,28018,723.0
171,96620000000,Schweinfurt,,97420,35.7,54481,26973,27508,1526.0
172,71330006006,Bad Kreuznach,Stadt,55545,55.56,54168,26236,27932,975.0
173,32410010010,Langenhagen,Stadt,30853,71.97,54142,26769,27373,752.0
174,130730088088,Stralsund,Hansestadt,18439,54.59,54094,26004,28090,991.0
175,57660008008,Bad Salzuflen,Stadt,32105,100.05,53958,26261,27697,539.0
176,59540016016,Hattingen,Stadt,45525,71.67,53044,25640,27404,740.0
177,92620000000,Passau,,94030,69.56,53039,25936,27103,762.0
178,51540036036,Kleve,Stadt,47533,97.76,53028,26155,26873,542.0
179,73160000000,Neustadt an der Weinstraße,Stadt,67433,117.09,52945,25734,27211,452.0
180,55700004004,Ahlen,Stadt,59227,123.13,52666,25838,26828,428.0
181,31580037037,Wolfenbüttel,Stadt,38300,78.74,52604,25797,26807,668.0
182,53620024024,Frechen,Stadt,50226,45.06,52309,25657,26652,1161.0
183,59620040040,Menden (Sauerland),Stadt,58706,86.1,52255,25644,26611,607.0
184,55660028028,Ibbenbüren,Stadt,49477,108.87,51803,25655,26148,476.0
185,81150003003,Böblingen,Stadt,71032,39.04,51483,25834,25649,1319.0
186,83365003050,Lörrach,Stadt,79539,39.37,51349,24973,26376,1304.0
187,10560015015,Elmshorn,Stadt,25335,21.36,51342,25316,26026,2404.0
188,53740012012,Gummersbach,Stadt,51643,95.41,51290,25356,25934,538.0
189,31570006006,Peine,Stadt,31224,119.84,50987,25227,25760,425.0
190,83175007065,Lahr/Schwarzwald,Stadt,77933,69.84,50775,25531,25244,727.0
191,82165005043,Rastatt,Stadt,76437,58.98,50741,25443,25298,860.0
192,84365005064,Ravensburg,Stadt,88212,92.05,50628,25156,25472,550.0
193,57700004004,Bad Oeynhausen,Stadt,32545,64.83,50620,24913,25707,781.0
194,81355002019,Heidenheim an der Brenz,Stadt,89522,107.09,50618,25211,25407,473.0
195,55540020020,Gronau (Westf.),Stadt,48599,78.82,50547,25307,25240,641.0
196,33520011011,Cuxhaven,Stadt,27472,161.93,49697,23990,25707,307.0
197,73180000000,Speyer,Stadt,67346,42.71,49564,24099,25465,1160.0
198,81150028028,Leonberg,Stadt,71229,48.73,49480,24574,24906,1015.0
199,51660036036,Willich,Stadt,47877,67.8,49413,24068,25345,729.0
200,34020000000,Emden,Stadt,26721,112.34,49202,24352,24850,438.0
201,59780004004,Bergkamen,Stadt,59192,44.9,49143,24413,24730,1094.0
202,120650256256,Oranienburg,Stadt,16515,163.69,49122,24065,25057,300.0
203,92630000000,Straubing,,94315,67.59,49002,24793,24209,725.0
204,91780124124,Freising,GKSt,85350,88.59,48928,24527,24401,552.0
205,53340004004,Alsdorf,Stadt,52477,31.68,48810,24259,24551,1541.0
206,53620020020,Erftstadt,Stadt,50374,119.89,48772,23815,24957,407.0
207,33590038038,Stade,Hansestadt,21682,110.07,48633,23862,24771,442.0
208,53340016016,Herzogenrath,Stadt,52134,33.38,48574,23832,24742,1455.0
209,73130000000,Landau in der Pfalz,Stadt,76829,82.94,48209,23254,24955,581.0
210,53820012012,Bornheim,Stadt,53332,82.69,48203,23644,24559,583.0
211,53820020020,Hennef (Sieg),Stadt,53773,105.89,48188,23591,24597,455.0
212,73110000000,Frankenthal (Pfalz),Stadt,67227,43.88,48140,23910,24230,1097.0
213,57540028028,Rheda-Wiedenbrück,Stadt,33378,86.72,48030,24059,23971,554.0
214,55580016016,Dülmen,Stadt,48249,184.83,47989,23583,24406,260.0
215,82155003009,Bruchsal,Stadt,76646,93.04,47784,24163,23621,514.0
216,59740040040,Soest,Stadt,59494,85.81,47776,23569,24207,557.0
217,83355005075,Singen (Hohentwiel),Stadt,78224,61.77,47621,23413,24208,771.0
218,31530017017,Goslar,Stadt,38640,163.88,47419,23061,24358,289.0
219,100430114114,Neunkirchen,Kreisstadt,66538,75.26,47344,23332,24012,629.0
220,91740115115,Dachau,GKSt,85221,34.96,47138,23239,23899,1348.0
221,81190020020,Fellbach,Stadt,70734,27.71,47120,23164,23956,1700.0
222,84175001079,Albstadt,Stadt,72458,134.4,46950,23226,23724,349.0
223,94640000000,Hof,,95015,58.02,46778,23093,23685,806.0
224,64340008008,Oberursel (Taunus),Stadt,61440,45.34,46736,22613,24123,1031.0
225,34590024024,Melle,Stadt,49324,253.95,46436,23045,23391,183.0
226,160670029029,Gotha,Stadt,99867,69.58,46400,22770,23630,667.0
227,57580004004,Bünde,Stadt,32257,59.3,46365,22619,23746,782.0
228,81160077077,Filderstadt,Stadt,70794,38.55,46243,22962,23281,1200.0
229,97620000000,Kaufbeuren,,87600,40.02,46193,22810,23383,1154.0
230,82260096096,Weinheim,Stadt,69469,58.11,45852,22308,23544,789.0
231,59780028028,Schwerte,Hansestadt an der Ruhr,58239,56.23,45821,22467,23354,815.0
232,120630080080,Falkensee,Stadt,14612,43.34,45720,22396,23324,1055.0
233,84165003036,Rottenburg am Neckar,Stadt,72108,142.27,45677,22616,23061,321.0
234,53620012012,Brühl,Stadt,50321,36.12,45555,22130,23425,1261.0
235,53700004004,Erkelenz,Stadt,41812,117.34,45315,22167,23148,386.0
236,64380011011,Rodgau,Stadt,63110,65.04,45277,22282,22995,696.0
237,150910375375,Wittenberg,Lutherstadt,06886,241.77,45249,21935,23314,187.0
238,10560039039,Pinneberg,Stadt,25421,21.54,44865,22070,22795,2083.0
239,32410012012,Neustadt am Rübenberge,Stadt,31535,358.96,44668,22080,22588,124.0
240,120600020020,Bernau bei Berlin,Stadt,16321,104.19,44597,21558,23039,428.0
241,32410011011,Lehrte,Stadt,31275,127.67,44255,21975,22280,347.0
242,97640000000,Memmingen,,87700,70.11,44192,21839,22353,630.0
243,51580004004,Erkrath,"Fundort des Neanderthalers, Stadt",40699,26.88,43706,21019,22687,1626.0
244,51580026026,Monheim am Rhein,Stadt,40789,23.05,43630,21106,22524,1893.0
245,81185002079,Bietigheim-Bissingen,Stadt,74321,31.29,43556,21452,22104,1392.0
246,100450114114,Homburg,Kreisstadt,66424,82.61,43382,21128,22254,525.0
247,130740087087,Wismar,Hansestadt,23952,41.73,43329,21045,22284,1038.0
248,51620016016,Kaarst,Stadt,41564,37.39,43295,20819,22476,1158.0
249,53700016016,Heinsberg,Stadt,52525,92.21,43163,21521,21642,468.0
250,55540012012,Borken,Stadt,46325,153.24,43035,21351,21684,281.0
251,31510009009,Gifhorn,Stadt,38518,105.39,42726,21009,21717,405.0
252,34520001001,Aurich,Stadt,26603,197.29,42612,21140,21472,216.0
253,81275009076,Schwäbisch Hall,Stadt,74523,104.19,42598,20884,21714,409.0
254,93610000000,Amberg,,92224,50.14,42553,20890,21663,849.0
255,53820060060,Siegburg,Stadt,53721,23.66,42445,20895,21550,1794.0
256,93630000000,Weiden i.d.OPf.,,92637,70.57,42444,20631,21813,601.0
257,59780020020,Kamen,Stadt,59174,40.95,42319,20642,21677,1033.0
258,81165001033,Kirchheim unter Teck,Stadt,73230,40.47,42299,20964,21335,1045.0
259,51660016016,Nettetal,Stadt,41334,83.87,41955,20590,21365,500.0
260,32410009009,Laatzen,Stadt,30880,34.16,41838,20213,21625,1225.0
261,33530005005,Buchholz in der Nordheide,Stadt,21244,74.76,41737,20280,21457,558.0
262,64380002002,Dreieich,Stadt,63303,53.27,41692,20633,21059,783.0
263,81195003067,Schorndorf,Stadt,73614,56.83,41647,20572,21075,733.0
264,145220180180,Freiberg,"Stadt, Universitätsstadt",09599,48.31,41519,20838,20681,859.0
265,120600052052,Eberswalde,Stadt,16225,93.63,41481,20277,21204,443.0
266,32410021021,Wunstorf,Stadt,31515,125.74,41211,20126,21085,328.0
267,53700020020,Hückelhoven,Stadt,41836,61.27,41192,20321,20871,672.0
268,81160078078,Leinfelden-Echterdingen,Stadt,70771,29.89,41185,20387,20798,1378.0
269,64310002002,Bensheim,Stadt,64625,57.83,41124,20183,20941,711.0
270,93730147147,Neumarkt i.d.OPf.,GKSt,92305,79.01,41103,20272,20831,520.0
271,94630000000,Coburg,,96450,48.29,41064,20023,21041,850.0
272,100410519519,Völklingen,Stadt,66333,67.1,40952,20017,20935,610.0
273,91790123123,Germering,GKSt,82110,21.61,40916,20128,20788,1893.0
274,33590010010,Buxtehude,Hansestadt,21614,76.69,40886,20138,20748,533.0
275,95650000000,Schwabach,,91126,40.8,40835,19932,20903,1001.0
276,57580024024,Löhne,Stadt,32584,59.51,40826,20100,20726,686.0
277,81165005049,Nürtingen,Stadt,72622,46.88,40773,20217,20556,870.0
278,160620041041,Nordhausen,Stadt,99734,108.24,40767,20047,20720,377.0
279,160630105105,Eisenach,Stadt,99817,104.17,40747,20012,20735,391.0
280,95610000000,Ansbach,,91522,99.91,40742,19754,20988,408.0
281,53820024024,Königswinter,Stadt,53639,76.2,40574,19913,20661,532.0
282,55540004004,Ahaus,Stadt,48683,151.24,40176,20138,20038,266.0
283,53340036036,Würselen,Stadt,52146,34.39,40145,19567,20578,1167.0
284,146285229270,Pirna,Stadt,01796,53.06,40128,19439,20689,756.0
285,57660044044,Lemgo,Stadt,32657,100.85,39905,19753,20152,396.0
286,81160080080,Ostfildern,Stadt,73760,22.81,39778,19752,20026,1744.0
287,73170000000,Pirmasens,Stadt,66953,61.35,39761,19654,20107,648.0
288,83170057057,Kehl,Stadt,77694,75.07,39584,19610,19974,527.0
289,51580024024,Mettmann,Stadt,40822,42.56,39542,19163,20379,929.0
290,120610260260,Königs Wusterhausen,Stadt,15711,96.04,39360,19382,19978,410.0
291,146280110110,Freital,Stadt,01705,40.46,39281,19235,20046,971.0
292,64360007007,Hofheim am Taunus,Kreisstadt,65719,57.43,39259,19195,20064,684.0
293,64350019019,Maintal,Stadt,63477,32.41,38987,19545,19442,1203.0
294,160700029029,Ilmenau,Stadt,98693,198.69,38834,19816,19018,195.0
295,81195001008,Backnang,Stadt,71522,39.38,38818,19304,19514,986.0
296,64380006006,Langen (Hessen),Stadt,63225,29.12,38785,19071,19714,1332.0
297,82150017017,Ettlingen,Stadt,76275,56.75,38578,18636,19942,680.0
298,53820044044,Niederkassel,Stadt,53859,35.79,38485,18952,19533,1075.0
299,55580012012,Coesfeld,Stadt,48653,141.36,38237,18895,19342,270.0
300,51700020020,Kamp-Lintfort,Stadt,47475,63.14,38217,18718,19499,605.0
301,55660012012,Greven,Stadt,48268,140.26,38212,18683,19529,272.0
302,55620016016,Haltern am See,Stadt,45721,159.03,38142,18648,19494,240.0
303,53620040040,Wesseling,Stadt,50389,23.37,38106,18812,19294,1631.0
304,150840550550,Weißenfels,Stadt,06667,113.96,37929,18498,19431,333.0
305,64380009009,Neu-Isenburg,Hugenotten- und Waldenserstadt,63263,24.29,37926,18615,19311,1561.0
306,150850135135,Halberstadt,Stadt,38820,143.27,37898,18349,19549,265.0
307,150900535535,Stendal,Hansestadt,39576,269.24,37850,18469,19381,141.0
308,55700052052,Warendorf,Stadt,48231,176.88,37703,18490,19213,213.0
309,100440115115,Saarlouis,Kreisstadt,66740,43.3,37667,18345,19322,870.0
310,146250020020,Bautzen / Budyšin,Stadt,02625,66.67,37566,18214,19352,563.0
311,91790121121,Fürstenfeldbruck,GKSt,82256,32.52,37420,18252,19168,1151.0
312,34540041041,Papenburg,Stadt,26871,118.44,37206,18916,18290,314.0
313,91770117117,Erding,GKSt,85435,54.61,37171,18028,19143,681.0
314,55700008008,Beckum,Stadt,59269,111.46,37133,18407,18726,333.0
315,83275006050,Tuttlingen,Stadt,78532,90.45,37109,18596,18513,410.0
316,82265008085,Sinsheim,Stadt,74889,126.99,37036,18456,18580,292.0
317,33530040040,Winsen (Luhe),Stadt,21423,109.77,36961,18365,18596,337.0
318,34540035035,Meppen,Stadt,49716,188.4,36930,18610,18320,196.0
319,150820015015,Bitterfeld-Wolfen,Stadt,06766,87.23,36592,17778,18814,419.0
320,34530004004,Cloppenburg,Stadt,49661,70.86,36565,18145,18420,516.0
321,57700032032,Porta Westfalica,Stadt,32457,105.22,36521,18247,18274,347.0
322,160640046046,Mühlhausen/Thüringen,Stadt,99974,151.03,36353,17780,18573,241.0
323,55660008008,Emsdetten,Stadt,48282,72.06,36159,18021,18138,502.0
324,64400003003,Bad Vilbel,Stadt,61118,25.68,35961,17571,18390,1400.0
325,65330009009,Limburg a. d. Lahn,Kreisstadt,65549,45.16,35938,17708,18230,796.0
326,81275002014,Crailsheim,Stadt,74564,109.08,35755,18153,17602,328.0
327,51700044044,Voerde (Niederrhein),Stadt,46562,53.49,35661,17339,18322,667.0
328,84175002002,Balingen,Stadt,72336,90.32,35623,17346,18277,394.0
329,64380001001,Dietzenbach,Kreisstadt,63128,21.68,35561,17787,17774,1640.0
330,55620008008,Datteln,Stadt,45711,66.1,35473,17386,18087,537.0
331,100450117117,St. Ingbert,Stadt,66386,49.95,35453,17237,18216,710.0
332,57660040040,Lage,Stadt,32791,76.04,35054,17291,17763,461.0
333,92710119119,Deggendorf,GKSt,94469,77.14,35044,17751,17293,454.0
334,73390030030,Ingelheim am Rhein,Stadt,55218,73.31,35016,17054,17962,478.0
335,59620016016,Hemer,Stadt,58675,67.66,35005,17230,17775,517.0
336,51540012012,Geldern,Stadt,47608,96.97,34962,17409,17553,361.0
337,10560050050,Wedel,Stadt,22880,33.81,34912,16879,18033,1033.0
338,51540016016,Goch,Stadt,47574,115.43,34907,17337,17570,302.0
339,53580024024,Jülich,Stadt,52428,90.39,34890,17605,17285,386.0
340,55660084084,Steinfurt,Stadt,48565,111.67,34860,17440,17420,312.0
341,160540000000,Suhl,Stadt,98527,141.62,34685,16861,17824,245.0
342,83365004069,Rheinfelden (Baden),Stadt,79618,62.84,34674,17013,17661,552.0
343,51620020020,Korschenbroich,Stadt,41352,55.24,34600,16826,17774,626.0
344,84265003021,Biberach an der Riß,Stadt,88400,72.15,34576,17051,17525,479.0
345,10620001001,Ahrensburg,Stadt,22926,35.29,34534,16434,18100,979.0
346,64310020020,Viernheim,Stadt,68519,48.41,34426,16928,17498,711.0
347,150880220220,Merseburg,Stadt,06217,53.87,34392,16981,17411,638.0
